cycle,id,candidate_name,party,state,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2012,N00030494,Frank Rives,D,OH,11, , ,DN,,,0,
2012,N00030495,Sean Henry Ryan,D,OH,11, , ,DN,,,0,
2012,N00030555,Craig E Willis,U,OH,11, , ,UN,,,0,
2012,N00029413,Aaron James Dagres,D,OH,12, , ,DN,,,0,
2012,N00029573,David Blair Ryon,3,OH,15, , ,3N,,,0,
2012,N00029726,Frank Chestney,R,OH,13, , ,RN,,,0,
2012,N00030500,Mark Michael Noble,L,OH,15, , ,3N,,,0,
2012,N00028945,Ned W Lauver,D,OH,16, , ,DN,,,0,
2012,N00029730,Paul R. Schiffer,R,OH,16, , ,RN,,,0,
2012,N00029731,Duane Virgil Grassell,R,OH,17, , ,RN,,,0,
2012,N00030276,Kevin E Coleman,D,OK,2, , ,DN,,,0,
2012,N00030199,Frankie Robbins,D,OK,3, ,Y,DL,,,0,
2012,N00030070,Jaynee L. Germond,R,OR,4, , ,RN,,,0,
2012,N00030200,Michael Allan Beilstein,3,OR,4, , ,3N,,,0,
2012,N00030075,Mike Muhammad,R,PA,1, , ,RN,,,0,
2012,N00029575,Thomas Edward Lynch,D,PA,3, , ,DN,,,0,
2012,N00029253,William Griffith,I,VA,7, , ,3N,1000.0,,1000,
2012,N00029737,Derek A Walker,R,PA,5, , ,RN,,,0,
2012,N00029740,Robert Roggio,D,PA,6, , ,DN,,,0,
2012,N00030201,Timothy M Legarsky,D,PA,12, , ,DN,,,0,
2012,N00030512,Daniel Frank,3,PA,16, , ,3N,,,0,
2012,N00029336,Daniel Matthew Wholey,D,PA,18, , ,DN,,,0,
2012,N00029578,Erin Vecchio,D,PA,18, , ,DN,,,0,
2012,N00029742,Wayne Dudding,D,PA,18, , ,DN,,,0,
2012,N00030080,Joe Zuccolo,I,RI,1, , ,3N,,,0,
2012,N00029887,Mark S. Zaccaria,R,RI,2, , ,RN,,,0,
2012,N00029744,Monty Joe Lankford,R,TN,4, , ,RN,,,0,
2012,N00029580,John Gerard Donovan,R,TN,5, , ,RN,,,0,
2012,N00030284,Vijay A Kumar,R,TN,5, , ,RN,,,0,
