,cycle,id,candidate_name,party,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
154,2000,N00005095,John Hendricks (L),L,MO08,Y,Y,3L,,,0,
155,2012,N00031459,Summer Shields (D),D,CA12, ,Y,DL,5500.0,5140.0,39459,28819.0
156,2000,N00005167,Kenneth Bentley Jacob (D),D,MO09, , ,DN,,,0,
157,2000,N00004099,Brian D Ellison (3),3,MI05,Y,Y,3L,,,0,
158,2012,N00034516,Jon Courtney (R),R,ME01,Y,Y,RL,17300.0,70319.0,124122,36503.0
159,2012,N00014314,Gary Richard Arnold (R),R,CA17, , ,RN,,,0,0.0
160,2012,N00032349,Matthew Zeller (D),D,NY23, , ,DN,,,0,0.0
161,2012,N00033731,Paul Babeu (R),R,AZ04, ,Y,RN,2500.0,294171.0,403215,106544.0
162,2012,N00012457,Jesse Jackson Jr (D),D,IL02,Y,Y,DW,363835.0,634513.0,1030441,32093.0
163,2012,N00032412,David Miller (R),R,CA32,Y,Y,RL,,29949.0,38699,8750.0
164,2012,N00031088,Cecilia Patricia Iglesias (I),I,CA47, , ,3N,,,0,0.0
165,2012,N00033994,Jess Herrera (D),D,CA26, ,Y,DL,2000.0,11885.0,24408,10523.0
166,2004,N00026853,Donna J Anderson (D),D,NE03,Y,Y,DL,,1930.0,5747,3817.0
167,2008,N00028126,Scott Lloyd Folkens (R),R,CA43, ,Y,RL,,3325.0,4734,1409.0
168,2004,N00026589,Nick Clooney (D),D,KY04,Y,Y,DL,2297037.0,909216.0,3294177,87924.0
169,2008,N00030062,David Krikorian (I),3,OH02,Y,Y,3L,1000.0,96341.0,138130,40789.0
170,2008,N00028338,Charles Dertinger (D),D,PA15, , ,DN,-2500.0,,-2500,0.0
171,2008,N00029784,Glenn Nye (D),D,VA02,Y,Y,DW,1050448.0,981589.0,2126670,94633.0
172,2004,N00026827,Richard John Penberthy (D),D,FL05, ,Y,DL,,3900.0,5874,1974.0
173,2008,N00029649,Jackie Speier (D),D,CA12,Y,Y,DW,348337.0,1176524.0,1643683,118822.0
174,2008,N00029950,Matt Kokkonen (R),R,CA23,Y,Y,RL,4000.0,20117.0,34928,10811.0
175,2008,N00004762,Judy Biggert (R),R,IL13,Y,Y,RW,749388.0,644910.0,1438466,44168.0
176,2004,N00026521,Cynthia Matthews (D),D,CA26,Y,Y,DL,5148.0,23000.0,42592,14444.0
177,2008,N00029880,Mike Carroll (D),D,OH04,Y,Y,DL,15550.0,10550.0,30358,4258.0
178,2004,N00026633,George Charles Ajjan (R),R,NJ08,Y,Y,RL,,108354.0,138889,30535.0
179,2008,N00029474,Mike Copass (D),D,CA53, ,Y,DL,,8300.0,12296,3996.0
180,2008,N00029870,Jennifer M Horn (R),R,NH02,Y,Y,RL,170365.0,194835.0,400613,35413.0
181,2004,N00026576,Anita Rivkin-Carothers (D),D,IL07, , ,DC,,39220.0,48675,9455.0
182,2004,N00026576,Anita Rivkin-Carothers (D),D,IL07, ,Y,DL,,39220.0,48675,9455.0
183,2004,N00007936,Brian Baird (D),D,WA03,Y,Y,DW,318333.0,460465.0,925152,146354.0
184,2004,N00009618,Adam H Putnam (R),R,FL12,Y,Y,RW,327681.0,381033.0,808711,99997.0
185,2004,N00026871,Lois K Herr (D),D,PA16,Y,Y,DL,3400.0,35588.0,72387,33399.0
186,2008,N00027628,Aaron B Lincoln (R),R,IL08, , ,RN,,-250.0,-250,0.0
187,2004,N00009719,Todd Platts (R),R,PA19,Y,Y,RW,11142.0,152271.0,216469,53056.0
188,2004,N00026430,Gregg Rippy (R),R,CO03, ,Y,RL,27167.0,217994.0,266147,20986.0
189,2000,N00004436,John Kline (R),R,MN06,Y,Y,RL,639515.0,616248.0,1981064,725301.0
190,2008,N00026829,Christine Jennings (D),D,FL13,Y,Y,DL,481552.0,1359322.0,2134341,293467.0
191,2000,N00005081,Robert Hoffman (L),L,MO09,Y,Y,3L,,,0,
192,2008,N00024760,Phil Gingrey (R),R,GA11,Y,Y,RW,395987.0,1104799.0,1540324,39538.0
193,2004,N00026154,Paul N Deweese (R),R,MI07, ,Y,RL,1300.0,108729.0,135539,25510.0
194,2008,N00030585,Justin Pereira Oberman (D),D,IL05, , ,DN,,157350.0,171592,14242.0
195,2004,N00027281,Thelma Drake (R),R,VA02,Y,Y,RW,899168.0,335933.0,1289476,54375.0
196,2008,N00029025,James V DiPaola (D),D,MA05, ,Y,DN,,6505.0,6705,200.0
197,2004,N00008870,Howard Swint (D),D,WV02, ,Y,DL,,16441.0,16441,0.0
198,2004,N00026964,Bill Nojay (R),R,NY29, ,Y,RN,,37987.0,50124,12137.0
199,2004,N00025595,Barry Gordon Irwin (D),D,GA09, , ,DN,,200.0,400,200.0
200,2008,N00003950,Sander Levin (D),D,MI12,Y,Y,DW,557667.0,101925.0,715702,56110.0
201,2004,N00025175,Michael R Turner (R),R,OH03,Y,Y,Rw,449645.0,523851.0,1070264,96768.0
202,2004,N00002315,Robin Hayes (R),R,NC08,Y,Y,RW,885594.0,684185.0,1685270,115491.0
203,2008,N00027977,Chris Wakim (R),R,WV01, , ,RN,-100.0,,-100,0.0
204,2004,N00025039,Dale Shugars (R),R,MI06, , ,RN,,450.0,700,250.0
205,2000,N00003368,Arthur D Rhodes (R),R,MS04, , ,RN,,,0,
206,2008,N00002858,Ileana Ros-Lehtinen (R),R,FL18,Y,Y,RW,493112.0,1188712.0,1730181,48357.0
207,2004,N00004376,John Burk Sharpless (R),R,WI02, , ,RN,,25.0,25,0.0
208,2008,N00029463,Brent Geer Maupin (I),I,AZ01,Y,Y,3L,,27967.0,28517,550.0
209,2004,N00005985,Henry Bonilla (R),R,TX23,Y,Y,RW,1044983.0,1074320.0,2184037,64734.0
210,2008,N00029539,John Newton Frary (R),R,ME02,Y,Y,RL,4000.0,251200.0,269511,14311.0
211,2004,N00007397,Pete Stark (D),D,CA13,Y,Y,DW,286088.0,33700.0,322354,2566.0
212,2008,N00030404,Nick Dibs (I),I,CA37, , ,3N,,100.0,1005,905.0
213,2004,N00025482,Dutch Ruppersberger (D),D,MD02,Y,Y,DW,290259.0,412956.0,747847,44632.0
214,2008,N00029922,Angelo Mancuso (R),R,AL05, ,Y,RL,,93050.0,93050,0.0
215,2004,N00026367,Scott Rolle (R),R,MD06, ,Y,RL,1000.0,82725.0,105235,21510.0
216,2008,N00030599,Charles J Wheelan (D),D,IL05, , ,DO,,134994.0,149326,14332.0
217,2004,N00005383,David Thibodaux (R),R,LA07,Y,Y,RL,,32677.0,39425,6748.0
218,2004,N00001339,Frank Mascara (D),D,PA12, , ,DN,,87750.0,89250,1500.0
219,2000,N00003297,Joyce Arceneaux (D),D,MS04, , ,DN,,,0,
220,2004,N00005724,Max Sandlin (D),D,TX01,Y,Y,DL,1464001.0,703015.0,2214696,47680.0
221,2004,N00025778,Dan Mathias (R),R,MN05,Y,Y,RL,1000.0,7850.0,12325,3475.0
222,2008,N00027642,Jay Fawcett (D),D,CO05, , ,DN,7500.0,29488.0,37998,1010.0
223,2004,N00026618,Corey Eugene Mohn (D),D,MO03, ,Y,DL,,12425.0,28440,16015.0
224,2000,N00003320,Carroll Rhodes (D),D,MS04, , ,DN,,,0,
225,2004,N00006825,Peter Mathews (D),D,CA37, ,Y,DL,,3400.0,9359,5959.0
226,2004,N00025924,Andrew Horning (R),R,IN07,Y,Y,RL,7100.0,7595.0,32446,17751.0
