cycle,cid,candidate_name,party,state,district,campaign,cycle_candidate,recip_code,nopacs,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2008,N00009888,Lamar Alexander,R,TN,,SEN,Y,RW, ,1684869.0,3911380.0,5747547,151298.0
2004,N00009618,Adam H Putnam,R,FL,FL-12,CON,Y,RW, ,327681.0,381033.0,808711,99997.0
2004,N00026871,Lois K Herr,D,PA,PA-16,CON,Y,DL, ,3400.0,35588.0,72387,33399.0
2008,N00027628,Aaron B Lincoln,R,IL,IL-08,CON, ,RN, ,,-250.0,-250,0.0
2008,N00029611,Rebekah Jean Kennedy,3,AR,,SEN,Y,3C, ,900.0,9395.0,12822,2527.0
2004,N00009719,Todd Platts,R,PA,PA-19,CON,Y,RW,Y,11142.0,152271.0,216469,53056.0
2004,N00026430,Gregg Rippy,R,CO,CO-03,CON,Y,RL, ,27167.0,217994.0,266147,20986.0
2000,N00004436,John Kline,R,MN,MN-06,CON,Y,RL, ,639515.0,616248.0,1981064,725301.0
2008,N00026829,Christine Jennings,D,FL,FL-13,CON,Y,DL, ,481552.0,1359322.0,2134341,293467.0
2000,N00005081,Robert Hoffman,L,MO,MO-09,CON,Y,3L, ,,,0,
2008,N00024760,Phil Gingrey,R,GA,GA-11,CON,Y,RW, ,395987.0,1104799.0,1540324,39538.0
2004,N00026154,Paul N Deweese,R,MI,MI-07,CON,Y,RL, ,1300.0,108729.0,135539,25510.0
2008,N00030585,Justin Pereira Oberman,D,IL,IL-05,CON, ,DN, ,,157350.0,171592,14242.0
2004,N00027087,Chuck Pennacchio,D,PA,,SEN, ,DN,Y,,4200.0,16220,12020.0
2004,N00027281,Thelma Drake,R,VA,VA-02,CON,Y,RW, ,899168.0,335933.0,1289476,54375.0
2008,N00029025,James V DiPaola,D,MA,MA-05,CON,Y,DN, ,,6505.0,6705,200.0
2004,N00008870,Howard Swint,D,WV,WV-02,CON,Y,DL, ,,16441.0,16441,0.0
2004,N00026964,Bill Nojay,R,NY,NY-29,CON,Y,RN, ,,37987.0,50124,12137.0
2004,N00025595,Barry Gordon Irwin,D,GA,GA-09,CON, ,DN, ,,200.0,400,200.0
2004,N00004221,Greg Ganske,R,IA,,SEN, ,RN, ,-2214.0,500.0,-814,900.0
2008,N00003950,Sander Levin,D,MI,MI-12,CON,Y,DW, ,557667.0,101925.0,715702,56110.0
2004,N00025175,Michael R Turner,R,OH,OH-03,CON,Y,RW, ,449645.0,523851.0,1070264,96768.0
2008,N00007815,Gordon H Smith,R,OR,,SEN,Y,RL, ,4114723.0,4920165.0,9661563,626675.0
2004,N00009926,Bill Nelson,D,FL,,SEN, ,DI, ,355655.0,1118212.0,2678569,1204702.0
2004,N00002315,Robin Hayes,R,NC,NC-08,CON,Y,RW, ,885594.0,684185.0,1685270,115491.0
2008,N00027977,Chris Wakim,R,WV,WV-01,CON, ,RN, ,-100.0,,-100,0.0
2004,N00025039,Dale Shugars,R,MI,MI-06,CON, ,RN, ,,450.0,700,250.0
2004,N00001128,Geraldine A Ferraro,D,NY,,SEN, ,DN, ,,500.0,500,0.0
2000,N00003368,Arthur D Rhodes,R,MS,MS-04,CON, ,RN, ,,,0,
2008,N00002858,Ileana Ros-Lehtinen,R,FL,FL-18,CON,Y,RW, ,493112.0,1188712.0,1730181,48357.0
2004,N00004376,John Burk Sharpless,R,WI,WI-02,CON, ,RN, ,,25.0,25,0.0
2008,N00029463,Brent Geer Maupin,I,AZ,AZ-01,CON,Y,3L, ,,27967.0,28517,550.0
2004,N00005985,Henry Bonilla,R,TX,TX-23,CON,Y,RW, ,1044983.0,1074320.0,2184037,64734.0
2004,N00006202,Ben Nighthorse Campbell,R,CO,,SEN, ,RI, ,385466.0,1118164.0,2791311,1287681.0
2008,N00029539,John Newton Frary,R,ME,ME-02,CON,Y,RL, ,4000.0,251200.0,269511,14311.0
2004,N00007397,Pete Stark,D,CA,CA-13,CON,Y,DW, ,286088.0,33700.0,322354,2566.0
2008,N00030404,Nick Dibs,I,CA,CA-37,CON, ,3N, ,,100.0,1005,905.0
2004,N00025482,Dutch Ruppersberger,D,MD,MD-02,CON,Y,DW, ,290259.0,412956.0,747847,44632.0
2008,N00029922,Angelo Mancuso,R,AL,AL-05,CON,Y,RL, ,,93050.0,93050,0.0
2004,N00026367,Scott Rolle,R,MD,MD-06,CON,Y,RL, ,1000.0,82725.0,105235,21510.0
2008,N00030599,Charles J Wheelan,D,IL,IL-05,CON, ,DO, ,,134994.0,149326,14332.0
2004,N00005383,David Thibodaux,R,LA,LA-07,CON,Y,RL, ,,32677.0,39425,6748.0
2008,N00009954,Lincoln D Chafee,R,RI,,SEN, ,RN, ,-6500.0,1500.0,-5000,0.0
2004,N00001339,Frank Mascara,D,PA,PA-12,CON, ,DN, ,,87750.0,89250,1500.0
2000,N00003297,Joyce Arceneaux,D,MS,MS-04,CON, ,DN, ,,,0,
2004,N00005724,Max Sandlin,D,TX,TX-01,CON,Y,DL, ,1464001.0,703015.0,2214696,47680.0
2004,N00025778,Dan Mathias,R,MN,MN-05,CON,Y,RL, ,1000.0,7850.0,12325,3475.0
2008,N00027642,Jay Fawcett,D,CO,CO-05,CON, ,DN, ,7500.0,29488.0,37998,1010.0
2008,N00030393,Evan Michael Stachowski,I,MA,,SEN,Y,3N, ,,710.0,710,0.0
2004,N00026618,Corey Eugene Mohn,D,MO,MO-03,CON,Y,DL, ,,12425.0,28440,16015.0
2004,N00004428,Bob Welch,R,WI,,SEN,Y,RL, ,60250.0,812044.0,2050397,1178103.0
2000,N00003320,Carroll Rhodes,D,MS,MS-04,CON, ,DN, ,,,0,
2008,N00026322,Tony Strickland,R,CA,,SEN, ,RN, ,645.0,14500.0,15145,0.0
2004,N00006825,Peter Mathews,D,CA,CA-37,CON,Y,DL, ,,3400.0,9359,5959.0
2004,N00025924,Andrew Horning,R,IN,IN-07,CON,Y,RL, ,7100.0,7595.0,32446,17751.0
2004,N00000637,Jim Maloney,D,CT,CT-05,CON, ,DN, ,15170.0,16200.0,38908,7538.0
2008,N00029071,David John Cappiello,R,CT,CT-05,CON,Y,RL, ,521916.0,1085182.0,1730514,123416.0
2004,N00009591,Marta Macias Brown,D,CA,CA-42,CON, ,DN, ,-100.0,,-100,0.0
2004,N00005998,Solomon P Ortiz,D,TX,TX-27,CON,Y,DW, ,176140.0,366000.0,545534,3394.0
2004,N00026764,David M Beasley,R,SC,,SEN,Y,RL, ,64250.0,2244611.0,4803313,2494452.0
2004,N00026392,Sam Texas,R,TX,TX-07,CON,Y,RL, ,,5400.0,5400,0.0
2004,N00013462,Christopher David Borcik,I,GA,GA-03,CON, ,3N, ,,10.0,10,0.0
2008,N00027738,Jim Nelson,D,GA,GA-01,CON, ,DN, ,,11794.0,12794,1000.0
2000,N00003369,Wilburn Fortinberry,R,MS,MS-04,CON, ,RN, ,,,0,
2000,N00003321,Ken Stribling,R,MS,MS-04,CON, ,RN, ,,,0,
2008,N00026418,Ken Wegner,R,NV,NV-01,CON,Y,RL, ,1.0,15542.0,15543,0.0
2004,N00007124,Christopher Cox,R,CA,CA-48,CON,Y,RW, ,474516.0,610055.0,1109434,24863.0
2004,N00026042,Carl Isett,R,TX,TX-19,CON,Y,RL, ,59428.0,492528.0,657865,105909.0
2008,N00001025,Joseph J Dioguardi,3,NY,NY-19,CON, ,3N, ,,90000.0,90000,0.0
2008,N00029886,Mark B McCracken,D,PA,PA-05,CON,Y,DL, ,28316.0,30182.0,82940,24442.0
2004,N00025508,Lisa Ann Atkins,R,AZ,AZ-02,CON, ,RN, ,-1000.0,,-1000,0.0
2008,N00029174,David O Leavitt,R,UT,UT-03,CON,Y,RL, ,22500.0,236045.0,267149,8604.0
2004,N00026084,Anne B Norlander,R,MI,MI-07,CON,Y,RN, ,1000.0,52177.0,72915,19738.0
2004,N00001148,Carolyn McCarthy,D,NY,NY-04,CON,Y,DW, ,534172.0,413851.0,1637126,689103.0
2004,N00026804,Timothy W Carpenter,D,WI,WI-04,CON,Y,DL, ,12601.0,171777.0,240996,56618.0
2008,N00028359,Jim Noorlander,3,UT,UT-03,CON,Y,3L, ,,2500.0,5082,2582.0
2008,N00029615,Michael Gerrard Cassaro,D,KY,,SEN,Y,DL, ,5000.0,46051.0,42200,-8851.0
2008,N00001543,Susan G Ducey,R,KS,KS-04,CON, ,RL, ,,2164.0,2164,0.0
2008,N00001543,Susan G Ducey,3,KS,KS-04,CON,Y,3L, ,,2164.0,2164,0.0
2004,N00003036,Roger Bedford,D,AL,,SEN, ,DN, ,,9060.0,18645,9585.0
2008,N00024851,Tom Feeney,R,FL,FL-24,CON,Y,RL, ,1272615.0,721742.0,2169392,175035.0
2008,N00027851,Robert Chambers,D,IA,IA-05,CON, ,DN, ,,1045.0,2322,1277.0
2008,N00030206,Mary D Wright,I,TN,TN-09,CON,Y,3L, ,,18874.0,20004,1130.0
2004,N00000243,Thomas M Keane Jr,D,MA,MA-08,CON, ,DN, ,,9100.0,9100,0.0
2008,N00029916,Nicholas B Sparks,D,AL,AL-04,CON,Y,DL, ,500.0,22586.0,23336,250.0
2004,N00005645,Ralph M Hall,R,TX,TX-04,CON,Y,RW, ,704907.0,420528.0,1164381,38946.0
