cycle,senate,won,raised_total_1M,Dem,Other,Repub,state_rank
2004,0,0,0.01863,1,0,0,30
2004,0,0,0.00631,0,0,1,50
2008,0,0,0.011755,0,1,0,24
2004,0,0,0.025995,0,0,1,30
2008,0,0,0.120578,0,0,1,38
2008,0,0,0.008613,1,0,0,32
2004,0,0,0.061092,0,0,1,35
2008,0,0,0.133882,1,0,0,19
2004,0,0,3.253793,1,0,0,4
2004,0,0,0.499352,0,0,1,33
2008,0,0,0.085017,0,0,1,45
2008,0,1,2.56687,0,0,1,15
2008,0,0,3.39431,1,0,0,21
2008,0,0,0.06713,0,0,1,30
2004,0,1,0.638601,1,0,0,19
2004,0,0,0.005205,0,1,0,28
2004,0,0,0.207853,1,0,0,29
2008,0,0,0.002337,1,0,0,28
2008,0,0,0.005,1,0,0,30
2008,0,0,0.02635,0,1,0,32
2008,0,1,0.945908,1,0,0,12
2004,0,1,3.382269,1,0,0,16
2004,0,0,0.081417,0,0,1,46
2004,0,0,0.017566,0,0,1,19
2008,0,1,3.769206,0,0,1,35
2008,0,0,0.01002,1,0,0,38
2004,0,1,0.896402,0,0,1,9
2008,0,0,0.0068,0,1,0,32
2004,0,0,0.014043,0,1,0,23
2008,0,0,0.093674,0,0,1,10
2008,0,1,1.372964,1,0,0,27
2008,0,1,0.930112,1,0,0,35
2008,0,1,0.97187,1,0,0,11
2008,0,1,2.943194,0,0,1,25
2008,0,0,0.008634,0,1,0,9
2008,0,0,0.072524,1,0,0,39
2004,0,1,0.828396,0,0,1,29
2012,0,0,0.033358,0,0,1,19
2012,0,0,0.00685,1,0,0,30
2012,0,0,0.14146,0,0,1,35
2012,0,1,0.720305,1,0,0,23
2012,0,1,1.71254,0,0,1,17
2012,0,0,0.021035,0,0,1,24
2012,0,1,1.083664,0,0,1,37
2012,0,0,0.043006,0,0,1,45
2012,0,0,0.0324,0,0,1,35
2012,0,0,0.030171,0,0,1,37
2012,0,0,1.04783,0,0,1,25
2012,0,0,0.009947,0,0,1,30
2012,0,0,0.119103,1,0,0,15
2012,0,0,0.431332,1,0,0,31
2012,0,1,1.251922,0,0,1,30
2012,0,0,0.000324,0,1,0,19
2012,0,0,0.363579,1,0,0,27
2012,0,0,1.418768,0,0,1,2
2012,0,0,0.00993,1,0,0,23
2012,0,0,0.011419,0,0,1,15
2012,0,0,0.00252,0,1,0,11
2012,0,0,0.034483,0,0,1,26
2012,0,0,0.00946,0,1,0,32
2012,0,0,0.01004,1,0,0,32
2012,0,0,0.113591,0,0,1,35
2012,0,1,0.3231,1,0,0,51
2012,0,1,1.499469,1,0,0,22
2012,0,0,0.831874,1,0,0,5
2012,0,0,0.016555,0,0,1,15
2012,0,1,2.131416,0,0,1,16
2012,0,1,2.006758,0,0,1,13
2012,0,0,0.133013,0,0,1,34
2012,0,0,0.028382,0,0,1,32
2012,0,0,0.001635,0,0,1,25
2012,0,0,0.00605,0,0,1,47
2012,0,0,0.00359,0,0,1,21
2012,0,0,0.084322,1,0,0,30
2012,0,0,0.049204,1,0,0,35
2012,0,0,0.008227,0,1,0,34
2012,0,1,1.913348,0,0,1,11
2012,0,0,1.384698,1,0,0,33
2012,0,0,0.006179,1,0,0,34
2012,0,0,0.344656,0,0,1,3
2012,0,0,0.028308,0,0,1,32
2012,0,0,0.015042,0,0,1,28
2012,0,0,0.69621,1,0,0,3
2012,0,1,0.611585,1,0,0,30
2012,0,0,0.02509,1,0,0,33
2012,0,1,1.204103,1,0,0,4
2012,0,1,3.145389,1,0,0,15
2012,0,0,0.00893,0,0,1,23
2012,0,0,0.020575,0,0,1,32
2012,0,1,1.59325,0,0,1,4
2012,0,0,0.01625,0,0,1,45
2000,0,0,0.0,0,1,0,46
2002,0,1,0.498878,1,0,0,46
2000,0,0,0.0,0,0,1,46
2002,0,0,0.025598,1,0,0,25
2002,0,1,1.454742,0,0,1,9
2002,0,0,0.054168,1,0,0,15
2006,0,1,3.232979,0,0,1,9
2006,0,0,0.044729,1,0,0,10
2000,0,0,0.0,0,1,0,46
2000,0,0,0.0,0,1,0,46
2002,0,0,0.005433,0,0,1,45
