,weighted_score
MI-07,0.7189542483660131
FL-27,0.7211328976034859
MN-01,0.7233115468409586
FL-02,0.7254901960784313
NJ-05,0.7276688453159041
VA-10,0.7298474945533769
PA-04,0.7320261437908496
UT-02,0.7342047930283224
AZ-08,0.7363834422657952
WA-02,0.738562091503268
CA-22,0.7407407407407407
NY-24,0.7429193899782135
WA-05,0.7450980392156863
WI-07,0.7472766884531591
CA-49,0.7494553376906318
FL-09,0.7516339869281046
CO-03,0.7538126361655774
TX-06,0.7559912854030502
CA-10,0.7581699346405228
CA-31,0.7603485838779956
MN-02,0.7625272331154684
NY-26,0.7647058823529411
IA-04,0.7668845315904139
MA-08,0.7690631808278867
SC-06,0.7712418300653595
NY-03,0.7734204793028322
ND-01,0.775599128540305
CO-06,0.7777777777777778
CA-11,0.7799564270152506
TX-25,0.7821350762527233
CA-36,0.7843137254901961
OR-02,0.7864923747276689
NM-02,0.7886710239651417
OR-05,0.7908496732026143
NJ-01,0.7930283224400871
NJ-07,0.7952069716775599
NY-02,0.7973856209150327
NJ-03,0.7995642701525054
MA-05,0.8017429193899782
MT-01,0.803921568627451
PA-15,0.8061002178649237
MD-08,0.8082788671023965
NY-23,0.8104575163398693
WA-10,0.8126361655773421
AR-04,0.8148148148148148
AZ-05,0.8169934640522876
NV-01,0.8191721132897604
MI-04,0.8213507625272332
NY-14,0.8235294117647058
WA-01,0.8257080610021786
KY-04,0.8278867102396514
CA-27,0.8300653594771242
IA-01,0.8322440087145969
IN-09,0.8344226579520697
NY-04,0.8366013071895425
MI-15,0.8387799564270153
NY-19,0.840958605664488
MN-03,0.8431372549019608
CT-02,0.8453159041394336
IN-02,0.8474945533769063
IL-18,0.8496732026143791
NY-20,0.8518518518518519
CA-26,0.8540305010893247
MO-07,0.8562091503267973
LA-01,0.8583877995642701
MI-06,0.8605664488017429
TX-23,0.8627450980392157
NJ-12,0.8649237472766884
TX-22,0.8671023965141612
IA-03,0.869281045751634
VA-02,0.8714596949891068
NC-08,0.8736383442265795
NY-01,0.8758169934640523
NJ-13,0.8779956427015251
RI-01,0.8801742919389978
NY-15,0.8823529411764706
GA-06,0.8845315904139434
TX-05,0.8867102396514162
NH-02,0.8888888888888888
FL-16,0.8910675381263616
CT-06,0.8932461873638344
TX-17,0.8954248366013072
KS-03,0.8976034858387799
MA-04,0.8997821350762527
CA-23,0.9019607843137255
NY-18,0.9041394335511983
KY-03,0.906318082788671
KY-06,0.9084967320261438
WA-08,0.9106753812636166
IL-11,0.9128540305010894
WV-02,0.9150326797385621
GA-12,0.9172113289760349
CO-02,0.9193899782135077
FL-26,0.9215686274509803
FL-18,0.9237472766884531
PA-06,0.9259259259259259
TX-32,0.9281045751633987
MI-09,0.9302832244008714
PA-07,0.9324618736383442
MO-03,0.934640522875817
CO-04,0.9368191721132898
AZ-01,0.9389978213507625
VA-11,0.9411764705882353
LA-03,0.9433551198257081
IL-06,0.9455337690631809
OH-15,0.9477124183006536
OH-12,0.9498910675381264
PA-08,0.9520697167755992
CO-07,0.954248366013072
SD-01,0.9564270152505446
NJ-06,0.9586056644880174
PA-12,0.9607843137254902
WI-01,0.9629629629629629
IL-08,0.9651416122004357
CT-04,0.9673202614379085
NV-03,0.9694989106753813
MD-05,0.971677559912854
PA-13,0.9738562091503268
FL-13,0.9760348583877996
TX-14,0.9782135076252724
CT-05,0.9803921568627451
IL-14,0.9825708061002179
FL-22,0.9847494553376906
NM-01,0.9869281045751634
IL-10,0.9891067538126361
AZ-09,0.9912854030501089
VA-07,0.9934640522875817
UT-04,0.9956427015250545
MN-06,0.9978213507625272
OH-08,1.0
